cycle_str,length,target_profit,min_reserve_usd,mean_vol_usd,total_fees,sum_liq_flow,avg_tick_vol,avg_tick_mom
DAI-WETH-USDC-DAI,3,-0.005621376089350604,1093523.8512117965,11482.20205137263,0.009000000000000001,190920671.63401365,,
DAI-WETH-HEZ-DAI,3,-0.012809921350850701,1147945.574162428,320.9058221448078,0.009000000000000001,-54487735.5024734,,
DAI-HEZ-WETH-DAI,3,-0.005774689713699063,1147945.574162428,320.9058221448078,0.009000000000000001,-54487735.5024734,,
DAI-USDC-WETH-DAI,3,-0.012722701699496634,1093523.8512117965,11482.20205137263,0.009000000000000001,190920671.63401365,,
SHARE-USD-WETH-SHARE,3,-0.016484526389393645,1255398.8559239078,83184.00603516052,0.009000000000000001,899248.2874228888,,
SHARE-WETH-USD-SHARE,3,-0.003844486760298641,1255398.8559239078,83184.00603516052,0.009000000000000001,899248.2874228889,,
USDT-WETH-USDC-USDT,3,-0.0075840265625387255,3523306.5253473823,27299.1731553233,0.009000000000000001,251318277.1312215,,
USDT-WETH-DOGE-USDT,3,36.92678732730615,1005242.0366015284,20359.526581370825,0.009000000000000001,70105315.96207008,,
USDT-WETH-HEZ-USDT,3,-0.012692845415608535,1432945.3218341698,16076.816625489499,0.009000000000000001,31427224.0770597,,
USDT-USDC-WETH-USDT,3,-0.010512491900922346,3523306.5253473823,27299.1731553233,0.009000000000000001,251318277.1312215,,
USDT-DOGE-WETH-USDT,3,-0.9741680687155085,1005242.0366015284,20359.52658137083,0.009000000000000001,70105315.96207008,,
USDT-HEZ-WETH-USDT,3,-0.005672704651510779,1432945.3218341698,16076.816625489499,0.009000000000000001,31427224.0770597,,
